name,price,address,distance,rating,review_count,numeric_review_count,numeric_score,stars,room_type,snapshot_date,check_in,check_out,ttt,los
"The Mayfair Hotel Times Square, Ascend Hotel Collection",US$125,"Manhattan, New York",0.8 km from downtown,"Scored 8.5
8.5
Very Good
2,218 reviews","2,218 review",2218,8.5,3 stars,Queen Room - Non Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Aloft New York Chelsea,US$143,"Chelsea, New York",2.5 km from downtown,"Scored 8.3
8.3
Very Good
234 reviews",234 review,234,8.3,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn New York/Midtown Park Avenue,US$150,"Manhattan, New York",2.4 km from downtown,"Scored 8.1
8.1
Very Good
2,244 reviews","2,244 review",2244,8.1,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Courtyard by Marriott New York World Trade Center Area,US$140,"Manhattan, New York",7.2 km from downtown,"Scored 8.4
8.4
Very Good
2,044 reviews","2,044 review",2044,8.4,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Wingate by Wyndham New York Midtown South/5th Ave,US$151,"Manhattan, New York",1.9 km from downtown,"Scored 8.4
8.4
Very Good
2,386 reviews","2,386 review",2386,8.4,3 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",US$130,"Midtown East, New York",1.5 km from downtown,"Scored 8.7
8.7
Excellent
1,258 reviews","1,258 review",1258,8.7,3 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Element Times Square West,US$161,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 8.0
8.0
Very Good
7,734 reviews","7,734 review",7734,8,4 stars,"Guest Room, 1 King",4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Place New York City - Times Square,US$174,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 7.8
7.8
Good
21,638 reviews","21,638 review",21638,7.8,4 stars,King Room - High Floor,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn New York - Times Square Central,US$139,"Manhattan, New York",1.5 km from downtown,"Scored 7.7
7.7
Good
1,778 reviews","1,778 review",1778,7.7,3 stars,Queen Room with City View,4/10/2025,4/11/2025,4/12/2025,1,1
Hampton Inn Times Square Central,US$169,"Manhattan, New York",1.5 km from downtown,"Scored 8.4
8.4
Very Good
2,829 reviews","2,829 review",2829,8.4,3 stars,King Room with Roll-In Shower - Mobility and Hearing Access/Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Citadines Connect Fifth Avenue New York,US$161,"Manhattan, New York",1.4 km from downtown,"Scored 7.5
7.5
Good
3,243 reviews","3,243 review",3243,7.5,3 stars,Premier Room with Two Double Beds,4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Place New York/Midtown-South,US$169,"Manhattan, New York",2 km from downtown,"Scored 8.3
8.3
Very Good
2,914 reviews","2,914 review",2914,8.3,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hampton Inn Manhattan-35th St Empire State Bldg,US$173,"Manhattan, New York",2 km from downtown,"Scored 8.3
8.3
Very Good
6,519 reviews","6,519 review",6519,8.3,3 stars,King Room with Roll-In Shower - Mobility Access/Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Delta Hotels by Marriott New York Times Square,US$169,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 7.9
7.9
Good
3,861 reviews","3,861 review",3861,7.9,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Four Points by Sheraton New York Downtown,US$159,"Manhattan, New York",7 km from downtown,"Scored 7.9
7.9
Good
2,059 reviews","2,059 review",2059,7.9,3 stars,"Guest room, 1 Queen",4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Centric Midtown 5th Avenue New York,US$172,"Manhattan, New York",1.9 km from downtown,"Scored 8.0
8.0
Very Good
1,223 reviews","1,223 review",1223,8,4 stars,Standard King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Motto By Hilton New York City Times Square,US$159,"Manhattan, New York",1 km from downtown,"Scored 8.0
8.0
Very Good
1,248 reviews","1,248 review",1248,8,3 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
"U Hotel Fifth Avenue, Empire State Building",US$123,"Manhattan, New York",2.1 km from downtown,"Scored 8.0
8.0
Very Good
3,351 reviews","3,351 review",3351,8,3 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
DoubleTree by Hilton New York Times Square South,US$188,"Hell's Kitchen, New York",1.8 km from downtown,"Scored 8.2
8.2
Very Good
6,444 reviews","6,444 review",6444,8.2,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
M Social Hotel Times Square New York,US$199,"Manhattan, New York",0.6 km from downtown,"Scored 8.4
8.4
Very Good
12,015 reviews","12,015 review",12015,8.4,4 stars,Social City View King,4/10/2025,4/11/2025,4/12/2025,1,1
La Quinta by Wyndham Time Square South,US$159,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 8.5
8.5
Very Good
4,356 reviews","4,356 review",4356,8.5,3 stars,King Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Doubletree By Hilton New York Times Square West,US$169,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 6.9
6.9
Review score
10,605 reviews","10,605 review",10605,6.9,4 stars,One King Bed Hearing Accessible,4/10/2025,4/11/2025,4/12/2025,1,1
Holiday Inn Express Manhattan Midtown West by IHG,US$159,"Hell's Kitchen, New York",1.1 km from downtown,"Scored 7.4
7.4
Good
1,857 reviews","1,857 review",1857,7.4,3 stars,King Room with Accessible Roll in Shower - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Holiday Inn New York City - Times Square by IHG,US$164,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 7.9
7.9
Good
2,054 reviews","2,054 review",2054,7.9,3 stars,Standard Room,4/10/2025,4/11/2025,4/12/2025,1,1
Motto by Hilton New York City Chelsea,US$170,"Chelsea, New York",2.8 km from downtown,"Scored 8.6
8.6
Excellent
3,104 reviews","3,104 review",3104,8.6,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton New York Fashion District,US$169,"Chelsea, New York",2.7 km from downtown,"Scored 7.6
7.6
Good
881 reviews",881 review,881,7.6,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hotel Edison Times Square,US$159,"Manhattan, New York",1 km from downtown,"Scored 7.7
7.7
Good
12,933 reviews","12,933 review",12933,7.7,4 stars,Signature 1 Queen Bed,4/10/2025,4/11/2025,4/12/2025,1,1
AC Hotel by Marriott New York Downtown,US$158,"Manhattan, New York",7.2 km from downtown,"Scored 8.5
8.5
Very Good
1,565 reviews","1,565 review",1565,8.5,4 stars,King Guest Room - One King Bed - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Courtyard by Marriott New York Manhattan/ Fifth Avenue,US$159,"Manhattan, New York",1.8 km from downtown,"Scored 7.8
7.8
Good
1,422 reviews","1,422 review",1422,7.8,4 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
Fairfield Inn by Marriott New York Manhattan/Financial District,US$159,"Manhattan, New York",7.2 km from downtown,"Scored 7.9
7.9
Good
3,637 reviews","3,637 review",3637,7.9,3 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
Tempo By Hilton New York Times Square,US$174,"Manhattan, New York",1 km from downtown,"Scored 8.6
8.6
Excellent
920 reviews",920 review,920,8.6,4 stars,King Room - Hearing Access,4/10/2025,4/11/2025,4/12/2025,1,1
Millennium Downtown New York,US$170,"Manhattan, New York",6.8 km from downtown,"Scored 7.2
7.2
Good
5,120 reviews","5,120 review",5120,7.2,4 stars,RENOVATED Deluxe King - City View,4/10/2025,4/11/2025,4/12/2025,1,1
Four Points by Sheraton Midtown - Times Square,US$179,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 8.2
8.2
Very Good
3,234 reviews","3,234 review",3234,8.2,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Embassy Suites By Hilton New York Manhattan Times Square,US$169,"Manhattan, New York",1.9 km from downtown,"Scored 7.7
7.7
Good
3,721 reviews","3,721 review",3721,7.7,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
"The Bernic Hotel New York City,Tapestry Collection by Hilton",US$159,"Midtown East, New York",1.7 km from downtown,"Scored 8.0
8.0
Very Good
748 reviews",748 review,748,8,4 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
Pod Times Square,US$139,"Hell's Kitchen, New York",1.4 km from downtown,"Scored 8.3
8.3
Very Good
23,035 reviews","23,035 review",23035,8.3,3 stars,Bunk Pod,4/10/2025,4/11/2025,4/12/2025,1,1
City Club Hotel,US$125,"Manhattan, New York",1.4 km from downtown,"Scored 7.3
7.3
Good
2,552 reviews","2,552 review",2552,7.3,4 stars,Petite Room,4/10/2025,4/11/2025,4/12/2025,1,1
Courtyard by Marriott Times Square West,US$188,"Hell's Kitchen, New York",1.8 km from downtown,"Scored 8.4
8.4
Very Good
3,029 reviews","3,029 review",3029,8.4,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Paramount Hotel Times Square,US$140,"Manhattan, New York",1 km from downtown,"Scored 7.0
7.0
Good
236 reviews",236 review,236,7,4 stars,Standard Room - Disability Access,4/10/2025,4/11/2025,4/12/2025,1,1
InterContinental New York Barclay Hotel by IHG,US$229,"Midtown East, New York",1.5 km from downtown,"Scored 8.1
8.1
Very Good
1,623 reviews","1,623 review",1623,8.1,5 stars,Classic Room,4/10/2025,4/11/2025,4/12/2025,1,1
The Belvedere Hotel,US$149,"Hell's Kitchen, New York",0.9 km from downtown,"Scored 8.0
8.0
Very Good
5,826 reviews","5,826 review",5826,8,3 stars,Standard King Room,4/10/2025,4/11/2025,4/12/2025,1,1
"Hotel Shocard Broadway, Times Square",US$129,"Manhattan, New York",1.5 km from downtown,"Scored 7.1
7.1
Good
2,799 reviews","2,799 review",2799,7.1,3 stars,Standard Double Room,4/10/2025,4/11/2025,4/12/2025,1,1
Four Points by Sheraton Manhattan SoHo Village,US$159,"SoHo, New York",5 km from downtown,"Scored 8.0
8.0
Very Good
891 reviews",891 review,891,8,3 stars,"Guest Room, 1 King",4/10/2025,4/11/2025,4/12/2025,1,1
The Muse New York,US$161,"Manhattan, New York",1.1 km from downtown,"Scored 8.5
8.5
Very Good
2,728 reviews","2,728 review",2728,8.5,4 stars,Deluxe King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Millennium Hotel Broadway Times Square,US$225,"Manhattan, New York",1.3 km from downtown,"Scored 7.4
7.4
Good
7,853 reviews","7,853 review",7853,7.4,4 stars,Standard Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hotel Hayden New York,US$139,"Chelsea, New York",2.5 km from downtown,"Scored 7.1
7.1
Good
3,208 reviews","3,208 review",3208,7.1,4 stars,Superior King Room,4/10/2025,4/11/2025,4/12/2025,1,1
INNSiDE by Meliá New York Nomad,US$165,"Chelsea, New York",2.6 km from downtown,"Scored 8.4
8.4
Very Good
1,035 reviews","1,035 review",1035,8.4,4 stars,The INNSiDE Room - Queen,4/10/2025,4/11/2025,4/12/2025,1,1
DoubleTree by Hilton Hotel New York City - Chelsea,US$179,"Chelsea, New York",2.5 km from downtown,"Scored 7.2
7.2
Good
3,873 reviews","3,873 review",3873,7.2,4 stars,King Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,US$169,"Chelsea, New York",2.7 km from downtown,"Scored 7.7
7.7
Good
2,694 reviews","2,694 review",2694,7.7,4 stars,Standard Queen Room with Communications Accessible Roll-In Shower,4/10/2025,4/11/2025,4/12/2025,1,1
Millennium Hilton New York One UN Plaza,US$185,"Midtown East, New York",2.2 km from downtown,"Scored 7.4
7.4
Good
2,032 reviews","2,032 review",2032,7.4,4 stars,King Room with City View,4/10/2025,4/11/2025,4/12/2025,1,1
DoubleTree by Hilton New York Midtown Fifth Ave,US$209,"Manhattan, New York",1 km from downtown,"Scored 7.7
7.7
Good
1,951 reviews","1,951 review",1951,7.7,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Sanctuary Hotel New York,US$179,"Manhattan, New York",1.1 km from downtown,"Scored 8.2
8.2
Very Good
1,520 reviews","1,520 review",1520,8.2,4 stars,Accessible Queen,4/10/2025,4/11/2025,4/12/2025,1,1
Renaissance New York Chelsea Hotel,US$179,"Chelsea, New York",2.8 km from downtown,"Scored 8.2
8.2
Very Good
1,232 reviews","1,232 review",1232,8.2,4 stars,"Guest Room, 1 King",4/10/2025,4/11/2025,4/12/2025,1,1
Hilton New York Times Square,US$209,"Manhattan, New York",1.4 km from downtown,"Scored 7.3
7.3
Good
1,238 reviews","1,238 review",1238,7.3,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn New York Times Square North,US$209,"Manhattan, New York",1.3 km from downtown,"Scored 8.2
8.2
Very Good
2,325 reviews","2,325 review",2325,8.2,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
The Gregorian New York City,US$190,"Manhattan, New York",2.1 km from downtown,"Scored 8.3
8.3
Very Good
1,198 reviews","1,198 review",1198,8.3,4 stars,Double Room,4/10/2025,4/11/2025,4/12/2025,1,1
Aloft Manhattan Downtown - Financial District,US$149,"Manhattan, New York",6.8 km from downtown,"Scored 8.0
8.0
Very Good
1,100 reviews","1,100 review",1100,8,4 stars,"Guest Room, 1 King",4/10/2025,4/11/2025,4/12/2025,1,1
Courtyard by Marriott New York Manhattan / Soho,US$189,"SoHo, New York",4.9 km from downtown,"Scored 7.8
7.8
Good
323 reviews",323 review,323,7.8,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
The Manhattan at Times Square,US$169,"Manhattan, New York",0.7 km from downtown,"Scored 5.5
5.5
Review score
7,530 reviews","7,530 review",7530,5.5,4 stars,Standard Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Place New York Chelsea,US$199,"Chelsea, New York",2.8 km from downtown,"Scored 7.9
7.9
Good
18,284 reviews","18,284 review",18284,7.9,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Residence Inn by Marriott New York Manhattan/Times Square,US$209,"Manhattan, New York",1.7 km from downtown,"Scored 8.1
8.1
Very Good
7,035 reviews","7,035 review",7035,8.1,4 stars,Queen Studio with Sofa Bed,4/10/2025,4/11/2025,4/12/2025,1,1
Home2 Suites By Hilton New York Times Square,US$199,"Manhattan, New York",1 km from downtown,"Scored 7.8
7.8
Good
1,319 reviews","1,319 review",1319,7.8,3 stars,Queen Studio Suite,4/10/2025,4/11/2025,4/12/2025,1,1
Leon Hotel LES,US$145,"Chinatown, New York",5.9 km from downtown,"Scored 8.1
8.1
Very Good
2,572 reviews","2,572 review",2572,8.1,3 stars,Deluxe King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn West 35th Street,US$209,"Manhattan, New York",2 km from downtown,"Scored 8.3
8.3
Very Good
3,020 reviews","3,020 review",3020,8.3,3 stars,King Room with Bath Tub - Mobility Access - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Kimpton Theta New York - Times Square by IHG,US$200,"Manhattan, New York",0.9 km from downtown,"Scored 8.2
8.2
Very Good
1,679 reviews","1,679 review",1679,8.2,5 stars,Essential King Room,4/10/2025,4/11/2025,4/12/2025,1,1
"The New Yorker, A Wyndham Hotel",US$179,"Hell's Kitchen, New York",2 km from downtown,"Scored 7.7
7.7
Good
15,551 reviews","15,551 review",15551,7.7,4 stars,Standard Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
Kimpton Hotel Eventi by IHG,US$237,"Chelsea, New York",2.4 km from downtown,"Scored 8.4
8.4
Very Good
462 reviews",462 review,462,8.4,5 stars,King Room with Accessible Tub - Mobility Access,4/10/2025,4/11/2025,4/12/2025,1,1
MOXY NYC Times Square,US$169,"Manhattan, New York",1.9 km from downtown,"Scored 8.1
8.1
Very Good
5,815 reviews","5,815 review",5815,8.1,4 stars,Double Room,4/10/2025,4/11/2025,4/12/2025,1,1
Renaissance New York Midtown Hotel,US$259,"Manhattan, New York",2 km from downtown,"Scored 8.8
8.8
Excellent
1,614 reviews","1,614 review",1614,8.8,4 stars,Standard King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Best Western Premier Herald Square,US$165,"Manhattan, New York",2 km from downtown,"Scored 7.8
7.8
Good
626 reviews",626 review,626,7.8,3 stars,King Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
InterContinental New York Times Square by IHG,US$269,"Hell's Kitchen, New York",1.2 km from downtown,"Scored 8.0
8.0
Very Good
1,770 reviews","1,770 review",1770,8,4 stars,Classic King Room - Low Floor,4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Herald Square New York,US$169,"NoMad, New York",2.4 km from downtown,"Scored 8.1
8.1
Very Good
1,323 reviews","1,323 review",1323,8.1,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
SpringHill Suites by Marriott New York Manhattan/Times Square South,US$209,"Hell's Kitchen, New York",1.9 km from downtown,"Scored 8.2
8.2
Very Good
7,732 reviews","7,732 review",7732,8.2,4 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Hampton Inn by Hilton New York Times Square,US$219,"Manhattan, New York",1 km from downtown,"Scored 7.8
7.8
Good
2,790 reviews","2,790 review",2790,7.8,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Fairfield By Marriott New York Manhattan Times Square,US$197,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 8.3
8.3
Very Good
5,726 reviews","5,726 review",5726,8.3,4 stars,Double Room with Two Double Beds,4/10/2025,4/11/2025,4/12/2025,1,1
"The Mayfair Hotel Times Square, Ascend Hotel Collection",US$125,"Manhattan, New York",0.8 km from downtown,"Scored 8.5
8.5
Very Good
2,218 reviews","2,218 review",2218,8.5,3 stars,Queen Room - Non Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Aloft New York Chelsea,US$143,"Chelsea, New York",2.5 km from downtown,"Scored 8.3
8.3
Very Good
234 reviews",234 review,234,8.3,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn New York/Midtown Park Avenue,US$150,"Manhattan, New York",2.4 km from downtown,"Scored 8.1
8.1
Very Good
2,244 reviews","2,244 review",2244,8.1,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Courtyard by Marriott New York World Trade Center Area,US$140,"Manhattan, New York",7.2 km from downtown,"Scored 8.4
8.4
Very Good
2,044 reviews","2,044 review",2044,8.4,3 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Wingate by Wyndham New York Midtown South/5th Ave,US$151,"Manhattan, New York",1.9 km from downtown,"Scored 8.4
8.4
Very Good
2,386 reviews","2,386 review",2386,8.4,3 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",US$130,"Midtown East, New York",1.5 km from downtown,"Scored 8.7
8.7
Excellent
1,258 reviews","1,258 review",1258,8.7,3 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Element Times Square West,US$161,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 8.0
8.0
Very Good
7,734 reviews","7,734 review",7734,8,4 stars,"Guest Room, 1 King",4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Place New York City - Times Square,US$174,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 7.8
7.8
Good
21,638 reviews","21,638 review",21638,7.8,4 stars,King Room - High Floor,4/10/2025,4/11/2025,4/12/2025,1,1
Hilton Garden Inn New York - Times Square Central,US$139,"Manhattan, New York",1.5 km from downtown,"Scored 7.7
7.7
Good
1,778 reviews","1,778 review",1778,7.7,3 stars,Queen Room with City View,4/10/2025,4/11/2025,4/12/2025,1,1
Hampton Inn Times Square Central,US$169,"Manhattan, New York",1.5 km from downtown,"Scored 8.4
8.4
Very Good
2,829 reviews","2,829 review",2829,8.4,3 stars,King Room with Roll-In Shower - Mobility and Hearing Access/Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Citadines Connect Fifth Avenue New York,US$161,"Manhattan, New York",1.4 km from downtown,"Scored 7.5
7.5
Good
3,243 reviews","3,243 review",3243,7.5,3 stars,Premier Room with Two Double Beds,4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Place New York/Midtown-South,US$169,"Manhattan, New York",2 km from downtown,"Scored 8.3
8.3
Very Good
2,914 reviews","2,914 review",2914,8.3,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hampton Inn Manhattan-35th St Empire State Bldg,US$173,"Manhattan, New York",2 km from downtown,"Scored 8.3
8.3
Very Good
6,519 reviews","6,519 review",6519,8.3,3 stars,King Room with Roll-In Shower - Mobility Access/Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Delta Hotels by Marriott New York Times Square,US$169,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 7.9
7.9
Good
3,861 reviews","3,861 review",3861,7.9,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Four Points by Sheraton New York Downtown,US$159,"Manhattan, New York",7 km from downtown,"Scored 7.9
7.9
Good
2,059 reviews","2,059 review",2059,7.9,3 stars,"Guest room, 1 Queen",4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Centric Midtown 5th Avenue New York,US$172,"Manhattan, New York",1.9 km from downtown,"Scored 8.0
8.0
Very Good
1,223 reviews","1,223 review",1223,8,4 stars,Standard King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Motto By Hilton New York City Times Square,US$159,"Manhattan, New York",1 km from downtown,"Scored 8.0
8.0
Very Good
1,248 reviews","1,248 review",1248,8,3 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
"U Hotel Fifth Avenue, Empire State Building",US$123,"Manhattan, New York",2.1 km from downtown,"Scored 8.0
8.0
Very Good
3,351 reviews","3,351 review",3351,8,3 stars,Queen Room,4/10/2025,4/11/2025,4/12/2025,1,1
DoubleTree by Hilton New York Times Square South,US$188,"Hell's Kitchen, New York",1.8 km from downtown,"Scored 8.2
8.2
Very Good
6,444 reviews","6,444 review",6444,8.2,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
M Social Hotel Times Square New York,US$199,"Manhattan, New York",0.6 km from downtown,"Scored 8.4
8.4
Very Good
12,015 reviews","12,015 review",12015,8.4,4 stars,Social City View King,4/10/2025,4/11/2025,4/12/2025,1,1
La Quinta by Wyndham Time Square South,US$159,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 8.5
8.5
Very Good
4,356 reviews","4,356 review",4356,8.5,3 stars,King Room - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Doubletree By Hilton New York Times Square West,US$169,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 6.9
6.9
Review score
10,605 reviews","10,605 review",10605,6.9,4 stars,One King Bed Hearing Accessible,4/10/2025,4/11/2025,4/12/2025,1,1
Holiday Inn Express Manhattan Midtown West by IHG,US$159,"Hell's Kitchen, New York",1.1 km from downtown,"Scored 7.4
7.4
Good
1,857 reviews","1,857 review",1857,7.4,3 stars,King Room with Accessible Roll in Shower - Non-Smoking,4/10/2025,4/11/2025,4/12/2025,1,1
Holiday Inn New York City - Times Square by IHG,US$164,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 7.9
7.9
Good
2,054 reviews","2,054 review",2054,7.9,3 stars,Standard Room,4/10/2025,4/11/2025,4/12/2025,1,1
Motto by Hilton New York City Chelsea,US$170,"Chelsea, New York",2.8 km from downtown,"Scored 8.6
8.6
Excellent
3,104 reviews","3,104 review",3104,8.6,4 stars,King Room,4/10/2025,4/11/2025,4/12/2025,1,1
Hyatt Centric Midtown 5th Avenue New York,US$391,"Manhattan, New York",1.9 km from downtown,"Scored 8.0
8.0
Very Good
1,223 reviews","1,223 review",1223,8,4 stars,Standard King Room,4/10/2025,4/11/2025,4/13/2025,1,2
Aloft New York Chelsea,US$340,"Chelsea, New York",2.5 km from downtown,"Scored 8.3
8.3
Very Good
234 reviews",234 review,234,8.3,4 stars,King Room,4/10/2025,4/11/2025,4/13/2025,1,2
"The New Yorker, A Wyndham Hotel",US$321,"Hell's Kitchen, New York",2 km from downtown,"Scored 7.7
7.7
Good
15,551 reviews","15,551 review",15551,7.7,4 stars,Standard Queen Room,4/10/2025,4/11/2025,4/13/2025,1,2
Courtyard by Marriott Times Square West,US$412,"Hell's Kitchen, New York",1.8 km from downtown,"Scored 8.4
8.4
Very Good
3,029 reviews","3,029 review",3029,8.4,3 stars,King Room,4/10/2025,4/11/2025,4/13/2025,1,2
Warren Street Hotel,"US$2,310","Tribeca, New York",6.3 km from downtown,"Scored 9.1
9.1
Wonderful
18 reviews",18 review,18,9.1,5 stars,Luxury King Room,4/10/2025,4/11/2025,4/13/2025,1,2
Wingate by Wyndham New York Midtown South/5th Ave,US$359,"Manhattan, New York",1.9 km from downtown,"Scored 8.4
8.4
Very Good
2,386 reviews","2,386 review",2386,8.4,3 stars,Queen Room - Non-Smoking,4/10/2025,4/11/2025,4/13/2025,1,2
La Quinta by Wyndham Time Square South,US$358,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 8.5
8.5
Very Good
4,356 reviews","4,356 review",4356,8.5,3 stars,King Room - Non-Smoking,4/10/2025,4/11/2025,4/13/2025,1,2
Sanctuary Hotel New York,US$358,"Manhattan, New York",1.1 km from downtown,"Scored 8.2
8.2
Very Good
1,520 reviews","1,520 review",1520,8.2,4 stars,Cozy Queen,4/10/2025,4/11/2025,4/13/2025,1,2
Element Times Square West,US$412,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 8.0
8.0
Very Good
7,734 reviews","7,734 review",7734,8,4 stars,"Guest Room, 1 King",4/10/2025,4/11/2025,4/13/2025,1,2
DoubleTree by Hilton New York Times Square South,US$439,"Hell's Kitchen, New York",1.8 km from downtown,"Scored 8.2
8.2
Very Good
6,444 reviews","6,444 review",6444,8.2,4 stars,King Room,4/10/2025,4/11/2025,4/13/2025,1,2
"The Mayfair Hotel Times Square, Ascend Hotel Collection",US$324,"Manhattan, New York",0.8 km from downtown,"Scored 8.5
8.5
Very Good
2,218 reviews","2,218 review",2218,8.5,3 stars,Deluxe Double Room - Non Smoking,4/10/2025,4/11/2025,4/13/2025,1,2
Hyatt Place New York City - Times Square,US$435,"Hell's Kitchen, New York",1.7 km from downtown,"Scored 7.8
7.8
Good
21,638 reviews","21,638 review",21638,7.8,4 stars,Standard King Room,4/10/2025,4/11/2025,4/13/2025,1,2
Four Points by Sheraton Midtown - Times Square,US$430,"Hell's Kitchen, New York",1.6 km from downtown,"Scored 8.2
8.2
Very Good
3,234 reviews","3,234 review",3234,8.2,4 stars,King Room,4/10/2025,4/11/2025,4/13/2025,1,2
Motto by Hilton New York City Chelsea,US$430,"Chelsea, New York",2.8 km from downtown,"Scored 8.6
8.6
Excellent
3,104 reviews","3,104 review",3104,8.6,4 stars,King Room,4/10/2025,4/11/2025,4/13/2025,1,2
Motto By Hilton New York City Times Square,US$398,"Manhattan, New York",1 km from downtown,"Scored 8.0
8.0
Very Good
1,248 reviews","1,248 review",1248,8,3 stars,Queen Room,4/10/2025,4/11/2025,4/13/2025,1,2
